fecha,cantidad
2016-3-14,619
2016-3-13,246701
2016-3-10,1204122
2015-12-23,86748
2016-1-6,91615
2016-2-2,154223
2015-12-6,75756
2015-12-20,81712
2015-11-17,79897
2015-11-25,87136
2015-11-27,66029
2015-12-25,56923
2015-12-29,83105
2015-12-2,66949
2015-12-10,199961
2015-6-3,27501
2015-6-4,21482
2015-1-22,9480
2015-6-6,20682
2015-1-30,9150
2015-6-7,20375
2015-1-18,4617
2015-1-23,8155
2015-10-21,232677
2015-2-3,8843
2015-3-31,15327
2015-2-6,8187
2015-9-8,62579
2015-2-7,6578
2015-9-20,80732
2015-2-13,10077
2015-9-15,77746
2015-2-18,18781
2015-2-24,9938
2015-9-2,57839
2015-2-25,11114
2016-1-31,137479
2015-6-13,19884
2015-6-24,25293
2015-4-25,10471
2015-2-10,8950
2015-9-14,80339
2015-2-12,10509
2015-9-16,96778
2015-2-15,7391
2015-2-22,8352
2015-3-19,10887
2015-5-1,15025
2015-9-12,69265
2015-2-4,8725
2015-7-13,29491
2015-7-12,23543
2016-1-7,96155
2015-4-12,11669
2015-6-19,25673
2016-2-24,362032
2015-7-11,22311
2016-1-12,117014
2015-4-10,12199
2015-7-17,30611
2015-5-16,16168
2015-5-29,19129
2015-1-7,5797
2015-1-15,5712
2015-10-30,378072
2015-2-21,8525
2015-6-2,21338
2015-3-1,20640
2015-10-11,116190
2015-10-25,364463
2015-3-21,8921
2015-12-8,75704
2015-3-9,9561
2015-3-20,11399
2015-3-18,11051
2015-12-5,53598
2015-3-6,9855
2015-12-13,60838
2015-6-17,25768
2016-1-2,65005
2015-9-5,46853
2015-2-28,8182
2015-8-21,56312
2015-8-27,62307
2015-3-26,12226
2015-1-1,5070
2016-1-25,117334
2015-6-12,19646
2015-5-28,22627
2015-7-26,30210
2016-2-28,357822
2016-1-29,140577
2015-6-14,18415
2015-12-18,88139
2015-3-4,9599
2016-3-11,970286
2015-8-28,55179
2015-6-16,23170
2015-1-21,8313
2015-5-5,13949
2015-6-27,30797
2015-4-7,13024
2015-6-20,22388
2015-1-19,19608
2015-10-17,148998
2015-7-6,29084
2015-6-21,19742
2016-1-11,139021
2015-4-13,13195
2015-6-25,29935
2015-7-28,35025
2016-1-3,62951
2015-6-26,27777
2015-5-15,52090
2015-7-27,33918
2015-1-27,11214
2015-10-18,160626
2016-2-11,220218
2015-7-4,46207
2015-4-8,12981
2016-1-10,99679
2015-8-29,45095
2015-6-29,26010
2015-7-24,29954
2015-5-18,17348
2015-1-3,3811
2015-12-12,66195
2015-8-5,53642
2015-3-11,10100
2015-3-28,9253
2015-10-1,135574
2015-5-13,18499
2015-7-23,32642
2015-6-15,28455
2015-7-18,26159
2015-10-4,110356
2015-5-17,19077
2015-9-29,101739
2015-3-2,11212
2015-12-9,132572
2015-9-7,65584
2015-2-5,8893
2015-8-30,43693
2015-8-6,78121
2015-3-13,10357
2015-7-30,36722
2015-10-5,253743
2015-6-18,26325
2015-8-22,39971
2016-2-1,163012
2016-2-6,133632
2015-10-7,134162
2016-2-5,155320
2015-10-8,131702
2015-10-29,399987
2015-10-22,265439
2016-2-9,157059
2015-7-7,25798
2015-1-31,7295
2015-10-26,722970
2015-4-19,11223
2016-1-19,110003
2015-12-1,64256
2015-11-1,381471
2015-5-22,19761
2015-7-19,31543
2016-1-23,99185
2015-6-9,22567
2015-4-23,13986
2015-3-23,9470
2015-9-22,95632
2015-2-9,8332
2015-1-20,12647
2015-5-24,16798
2015-9-27,84862
2015-3-22,8758
2015-12-3,73644
2015-1-26,12435
2015-8-3,47305
2015-11-3,493750
2016-2-8,161699
2015-10-20,214083
2015-5-21,17757
2015-7-22,32954
2016-1-24,111922
2015-4-20,13455
2016-2-10,179343
2015-10-16,157750
2015-1-24,5691
2015-9-17,109780
2015-9-23,106813
2015-9-21,108857
2016-3-1,668712
2015-8-2,40392
2015-11-4,518335
2015-10-24,199971
2015-1-16,5629
2015-4-17,13559
2015-6-8,20457
2016-1-17,89066
2015-9-24,105242
2015-2-8,6439
2015-4-27,19254
2015-6-22,23425
2015-9-26,80010
2015-10-3,101707
2015-5-25,21883
2015-11-5,686188
2015-9-19,80758
2015-3-17,10428
2015-3-16,10616
2015-10-23,254793
2015-1-17,4449
2015-11-20,97207
